X,Y,Category,Value
71,11.32607709,1,73.10817778
74,49.29132404,1,118.693425
43,30.03050308,1,53.39194142
52,13.29009346,1,54.51475404
58,16.05394483,2,60.46704216
40,22.7552997,2,59.2218905
44,16.7236512,2,45.32029581
32,25.18487471,1,50.2676243
28,23.87713152,1,49.27424082
61,21.27180621,1,67.16716
63,34.57796146,2,88.60628032
50,26.52625267,1,65.00268798
40,42.39514059,1,44.67037605
71,73.60117207,1,97.96308573
31,10.61982581,1,38.34362161
49,12.39431948,2,50.97194494
37,22.42218917,2,52.19403304
32,17.02374001,1,44.37109613
66,25.60338275,1,89.22627839
37,15.30528198,1,46.38872935
54,10.6957904,2,55.57389725
38,42.30785405,1,78.31189601
56,16.3372978,2,71.16272233
